flow_id,label,confidence,anomaly_score,severity,color,rank,is_malicious,watchlist_hit,rule_triggered,src_ip,dst_ip,src_port,dst_port,protocol
1,BENIGN,96.41,3.59,SAFE,#00ff94,0,False,False,False,192.168.122.126,192.168.122.255,138,138,17
2,BENIGN,92.9,7.1,SAFE,#00ff94,0,False,False,False,192.168.122.126,255.255.255.255,68,67,17
3,BENIGN,92.9,7.1,SAFE,#00ff94,0,False,False,False,192.168.122.1,192.168.122.126,67,68,17
4,DoS slowloris,82.0,18.0,MEDIUM,#ffb800,2,True,False,True,192.168.122.126,192.168.122.255,137,137,17
5,DoS slowloris,82.0,18.0,MEDIUM,#ffb800,2,True,False,True,192.168.122.126,172.217.203.94,47073,80,6
6,BENIGN,99.16,0.84,SAFE,#00ff94,0,False,False,False,192.168.122.126,192.168.122.1,50593,53,17
7,BENIGN,96.59,3.41,SAFE,#00ff94,0,False,False,False,192.168.122.126,34.104.35.123,47074,80,6
8,BENIGN,98.75,1.25,SAFE,#00ff94,0,False,False,False,142.250.98.139,192.168.122.126,443,55210,6
9,BENIGN,99.16,0.84,SAFE,#00ff94,0,False,False,False,192.168.122.126,192.168.122.1,58394,53,17
10,BENIGN,97.46,2.54,SAFE,#00ff94,0,False,False,False,192.168.122.126,172.217.13.163,47082,443,6
11,BENIGN,97.26,2.74,SAFE,#00ff94,0,False,False,False,192.168.122.126,172.217.13.163,47085,443,6
